avantages_inconvenients;avis_commentaire;avis_etat_emploi;avis_localisation;avis_note;fichier_source;id_avis_soc;nom_societe;note_moyenne
Avantages : beaucoup de possibilité d'apprentissage. beaucoup de poste demande de savoir gerer différents postes au besoin. Si l'intégration était bien suivie et que la formation était complete cela permettrait d'avoir de très bons collaborateurs de travail. Inconvénients : Pas assez de temps accordé aux nouveaux collaborateurs et trop peu de confiance leur est accordée. Etre directeur de magasin ne veut pas dire passer ses nerfs sur tout le monde, ne pas reconnaitre les erreurs des uns et les reporter sur dautres collegues. Un directeur n'est pas un roi qui aurait des employés comme tête de turcs. Aucune possibilité d'évolution de carrière.;J'ai travaillé chez Feu Vert à moins d'un an;Ancien intérimaire - agent de caisse;Barberey-Saint-Sulpice;3;13612-AVIS-SOC-GLASSDOOR-E845851_P2.html;46;Feu Vert;2.8
Avantages : Beaucoup d'avantages, bonne ambiance et locaux sympa Inconvénients : Quartier pas génial c'est dommage;J'ai travaillé chez SeLoger à temps plein plus de 5 ans;Ancien employé - Employé Anonyme;;1;13614-AVIS-SOC-GLASSDOOR-E230035_P1.html;47;SeLoger;4.3
Avantages : de bonnes valeurs avec une ambiance sympa, bel esprit d'équipe au global (même si comme d'hab ça dépend des managers et de l'équipe aussi). Boite hyper dynamique, des projets tout le temps et des budgets pour faire de belles choses, on apprend bcp et big up à la com interne pur les apéros au top ! Inconvénients : dans le 18e vers Marcadet,, donc un peu excentré, mais la super terrasse compense bien ça !;Je travaille chez SeLoger à temps plein depuis plus de 3 ans;Employé actuel - service client;Nice;5;13614-AVIS-SOC-GLASSDOOR-E230035_P2.html;48;SeLoger;4.3
Avantages : Beaux produits, belle technologie, Organisation industrielle à la pointe, méritocratie. Inconvénients : Pas de gros inconvénients à ma connaissance, comme toutes les autres entreprises.;Je travaille chez CNH Industrial à temps plein;Ancien employé - Assistant exécutif;Lugano;5;13615-AVIS-SOC-GLASSDOOR-E6538_P1.html;49;CNH Industrial;3.5
Avantages : Je ne suis pas resté assez longtemps pour savoir si cela m'aurait permis d'avoir des avantages particulier. Mais je pense qu'on a tous une chance d'obtenir un bonus.... Inconvénients : Le salaire n'est pas conséquent mais à l'heure ou je vous parle, j'ai pris le large :-) c'était 35000 euros annuel.;Je travaille chez Atos à temps plein depuis plus de 5 ans;Employé actuel - Ingénieur Production;Paris;3;13551-AVIS-SOC-GLASSDOOR-E794111_P1.html;5;Atos;3.6
Avantages : Il y a tellement à faire que chaque jour est un défi! Les opportunités sont donc immenses et les challenges nombreux. Société réellement multi-culturelle. Inconvénients : Absence totale de vision à long terme, a minima dans ce qui est partagé par la direction avec les équipes. Ce manque ne pousse pas à un réel travail d'équipe, les services sont vite en lutte les uns contre les autres plutôt qu'en travail collectif au service de la société et ses clients. La société demande toujours plus mais ne donne pas beaucoup en retour (formation, rémunération). Lancer un projet n'est pas...difficile, le faire vivre parmi les centaines d'autres l'est plus.Dérouler;Je travaille chez CNH Industrial à temps plein depuis plus d'un an;Employé actuel - Quality Product Support;Lyon;2;13615-AVIS-SOC-GLASSDOOR-E6538_P2.html;50;CNH Industrial;3.5
Avantages : Flexibilité Opportunités International Ambiance Autonomie Inconvénients : Désordre Management Organisation Manque de projets Mode de travail;Je travaille chez CNH Industrial Capital à temps plein;Employé actuel - Employé anonyme;;4;13617-AVIS-SOC-GLASSDOOR-E139323_P1.html;51;CNH Industrial Capital;3.9
NULL NULL;J'ai travaillé chez SOTRAVO Filiale SOLOCAL GROUP à temps plein plus de 3 ans;Ancien employé - Commerciale;Montigny;3;13618-AVIS-SOC-GLASSDOOR-E1136406_P1.html;52;SOTRAVO Filiale SOLOCAL GROUP;3.0
Avantages : Travail d’equipe, bons locaux, supers managers Inconvénients : Salaire, beaucoup de travail, stress;Je travaille chez SoLocal Group à temps plein;Ancien employé - Key Account Manager;Paris;5;13619-AVIS-SOC-GLASSDOOR-E800152_P1.html;53;SoLocal Group;2.9
NULL NULL;Je travaille chez SoLocal Group à temps plein;Employé actuel - Employé anonyme;Dijon, Bourgogne;1;13619-AVIS-SOC-GLASSDOOR-E800152_P2.html;54;SoLocal Group;2.9
NULL NULL;J'ai travaillé chez Morgan Philips Group à;Ancien stagiaire - Ingénieur Stagiaire;Strasbourg;5;13621-AVIS-SOC-GLASSDOOR-E1178969_P1.html;55;Morgan Philips Group;3.9
Avantages : Bon endroit pour se développer, très bons outils et solution innovante à proposer au client. Plusieurs formations proposées au cours de votre expérience. Excellente atmosphère. Inconvénients : si vous n’aimez pas les développements des affaires, ne venez pas;Je travaille chez Morgan Philips Executive Search à;Consultant;Genève;5;13622-AVIS-SOC-GLASSDOOR-E847875_P1.html;56;Morgan Philips Executive Search;3.9
Avantages : Aucun. Absolument aucun avantage, une entreprise en perdition. Inconvénients : N'allez surtout pas dans cette entreprise, vous serez mal payé et en plus vous serez traité comme un chien. On vous donnera 1400 livres net en tant que delivery et vous devrez faire tous le travail. En travaillant 42h par semaine.;J'ai travaillé chez Montreal Associates à temps plein plus d'un an;Ancien employé - Chargée De Recrutement;Londres, Angleterre;1;13623-AVIS-SOC-GLASSDOOR-E1146056_P1.html;57;Montreal Associates;4.3
NULL NULL;J'ai travaillé chez STM à temps plein moins d'un an;Employé actuel - Employé anonyme;Montréal, QC;5;13624-AVIS-SOC-GLASSDOOR-E397805_P1.html;58;STM;3.7
Avantages : entreprise reconnu,stable,serviable,grands entreprisr,rentable,motivé,fédale,respects les clients surtou les horaires de travailles Inconvénients : temps en temps des petites enpanne au niveaux de mitro plus le bruit;J'ai travaillé chez STM à temps partiel plus de 10 ans;Ancien employé - Agent de prévention et de sécurité;;4;13624-AVIS-SOC-GLASSDOOR-E397805_P2.html;59;STM;3.7
Avantages : Jours de congé supplémentaires (wellness), team events (bien que de plus en plus rares), petites attentions au bureau (pains au chocolat, fruits, boissons etc...) Inconvénients : Depuis le rachat de CTP par Atos, la division Atos consulting est en perdition. Les employés fuient, se font licencier ou vont se faire licencier. Nous sommes passés de 250 en Suisse à 150? voir moins.L'ambiance est forcément en conséquences...et c'est franchement la fin. A moyen terme le bureau de Nyon devrait fusionner avec celui de Renens j'imagine.;Je travaille chez Atos Consulting à temps plein depuis plus de 10 ans;Employé actuel - Senior Manager;Nyon;1;13552-AVIS-SOC-GLASSDOOR-E2131167_P1.html;6;Atos Consulting;2.8
Avantages : on apprend le genie à la dure Inconvénients : on apprends souvent plus le genie avec google...;Je travaille chez Polytechnique Montréal à temps partiel;Employé actuel - Chercheur postdoctoral;;4;13625-AVIS-SOC-GLASSDOOR-E192082_P1.html;60;Polytechnique Montréal;4.4
Avantages : un bon environement, un bon salaire pour un etudiant Inconvénients : le stress de la recherche;Je travaille chez Polytechnique Montréal à;;Montréal, QC;4;13625-AVIS-SOC-GLASSDOOR-E192082_P2.html;61;Polytechnique Montréal;4.4
Avantages : Expérience enrichissante, les personnes avec qui je travaillais étaient aimable. Bon environnement de travail. Inconvénients : Pression au niveau de la vente;J'ai travaillé chez BMO Financial Group à temps partiel moins d'un an;Employé actuel - Caissier;Montreuil, Île-de-France;4;13626-AVIS-SOC-GLASSDOOR-E3765_P1.html;62;BMO Financial Group;3.7
Avantages : opportunités intéressante, avangardiste, bonne technologie Inconvénients : processus difficile, trop lent à changer;J'ai travaillé chez BMO Financial Group à temps plein plus d'un an;Employé actuel - Financial Services Manager;Longueuil, QC;2;13626-AVIS-SOC-GLASSDOOR-E3765_P2.html;63;BMO Financial Group;3.7
Avantages : multicultural, agreeable, interesting, dynamic Inconvénients : theory, CDD, na, na;Je travaille chez Concordia University à temps plein depuis plus d'un an;Employé actuel - Chercheur postdoctoral;Montréal, QC;4;13627-AVIS-SOC-GLASSDOOR-E253618_P1.html;64;Concordia University;4.0
Avantages : Milieu stimulant et dynamique Sécurité d'emploi 4 semaines de vacances Études payées Inconvénients : Aucune écoute pour le personnel de soutien Traite les employés comme des numéros Aucune flexibilité travail famille (rigidité des horaires) Possibilité d'avancement très limitée;J'ai travaillé chez University of Montreal à temps plein;Employé actuel - Responsable gestion de dossier;;2;13628-AVIS-SOC-GLASSDOOR-E235643_P1.html;65;University of Montreal;3.9
Avantages : Très bien, je recommande à tous. Inconvénients : Aucun, je recommande à tous.;Je travaille chez University of Montreal à temps plein depuis plus de 5 ans;Bibliothécaire;Montréal, QC;5;13628-AVIS-SOC-GLASSDOOR-E235643_P2.html;66;University of Montreal;3.9
NULL NULL;J'ai travaillé chez CRIM (Computer Research Institute of Montreal) à;Ancien stagiaire - Anonymous;;5;13629-AVIS-SOC-GLASSDOOR-E474142_P1.html;67;CRIM (Computer Research Institute of Montreal);3.5
Avantages : Passe d'autobus et bixi remboursée, participation au réer, bonne équilibre travail-famille, fruits frais à tous les jours. Inconvénients : Le nombre de semaine de vacances pourraient être mieux. Bonus rare. Pas de stock options.;Je travaille chez Eidos Montreal à;;;4;13630-AVIS-SOC-GLASSDOOR-E456207_P1.html;68;Eidos Montreal;3.6
Avantages : Traitement humain et considération du salarié Inconvénients : Inconvient inherent au métier de consultant;Je travaille chez Softeam à temps plein depuis plus de 8 ans;Employé actuel - Chef De Projet;Paris;4;13633-AVIS-SOC-GLASSDOOR-E672181_P1.html;69;Softeam;3.4
Avantages : Je pense que cet avis doit etre positif car c'est une belle boite. Inconvénients : Je ne vois pas vraiment d'inconvenient la tout de suite maintenant. Mais ce la peut venir assez vite.;Je travaille chez Atos-Syntel à temps plein;Employé actuel - Employé anonyme;;5;13553-AVIS-SOC-GLASSDOOR-E5304_P1.html;7;Atos-Syntel;3.4
Avantages : Que du positif que j'ai gardé de mon ancienne SSII. Entreprise avec beaucoup de valeurs humaine contrairement à la réputation qu'ont les SSII. Je la conseille Inconvénients : Aucun inconvenient à signaler chez Softeam;Je travaille chez Softeam à temps plein depuis plus de 3 ans;Employé actuel - Développeur;Nantes;5;13633-AVIS-SOC-GLASSDOOR-E672181_P2.html;70;Softeam;3.4
NULL NULL;Je travaille chez NVIDIA à depuis plus de 10 ans;Director of Marketing;Antibes;2;13634-AVIS-SOC-GLASSDOOR-E7633_P1.html;71;NVIDIA;4.5
Avantages : J'ai travaillé pour 2S2I sur une mission de 6 mois au Crédit Agricole. Dès lors que mon profil a été sélectionné par 2S2I, le directeur de la BU a tout fait pour me décrocher une mission chez ses clients. Durant la mission, il a toujours été derrière moi pour m'épauler en cas de besoin. Inconvénients : 2S2I (agence parisienne) est orientée essentiellement vers le secteur bancaire et assurances. Pas d'ouverture vers les autres secteurs.;J'ai travaillé chez 2S2I Solutions & Services à moins d'un an;Ancien freelance - Consultant ITSM;Élancourt;4;13636-AVIS-SOC-GLASSDOOR-E1303620_P1.html;72;2S2I Solutions & Services;3.3
Avantages : Rien que des problèmes là-bas Inconvénients : Management et salaire Comité d’entreprise Organisation;J'ai travaillé chez ALTRAN à temps plein plus de 3 ans;Ancien employé - Employé anonyme;Paris;1;13637-AVIS-SOC-GLASSDOOR-E3133104_P1.html;73;ALTRAN;0.0
NULL NULL;Je travaille chez ALTRAD Group à temps plein;Employé actuel - Employé anonyme;Florensac, Hérault, Languedoc-Roussillon;1;13638-AVIS-SOC-GLASSDOOR-E1481570_P1.html;74;ALTRAD Group;3.6
Avantages : Pas de participation, pas de primes Inconvénients : Pas assez de recul pour répondre à cette question;J'ai travaillé chez Altran Group à temps plein;Employé actuel - Consultant;Paris;3;13639-AVIS-SOC-GLASSDOOR-E7448_P1.html;75;Altran Group;3.5
Avantages : Ils ont de bons clients Inconvénients : Salaire, manager pas présent, pas d'évolution;Je travaille chez Altran Group à temps plein;Employé actuel - Junior Consultant;Puteaux;4;13639-AVIS-SOC-GLASSDOOR-E7448_P2.html;76;Altran Group;3.5
Avantages : Altran offre de belle opportunité de monté en compétences et de valorisé votre profil Inconvénients : à l'exception des placement en mission il n'y a vraiment aucun accompagnemen de parcours de carriere, et les augmentation ne sont obtenue qu'en menaçant de partir;J'ai travaillé chez Altran Engineering Solution à temps plein moins d'un an;Employé actuel - IT Consultant;Vélizy;5;13640-AVIS-SOC-GLASSDOOR-E427636_P1.html;77;Altran Engineering Solution;3.2
Avantages : Des missions, un bon CE Inconvénients : Ils recrutent mais refuse toutes les demandes d'augmentations sous couvert de prétextes ridicules.;J'ai travaillé chez Altran Engineering Solution à temps plein;Ancien employé - Employé anonyme;Vélizy;4;13640-AVIS-SOC-GLASSDOOR-E427636_P2.html;78;Altran Engineering Solution;3.2
Avantages : Compétences d’ingénierie à Gurgaon Volonté de s'améliorer Inconvénients : - Aucune vision de ce qui est nécessaire pour être considéré comme un acteur de premier plan - plan d'affaire concentré sur un seul segment vertical - l'entreprise est totalement sur-administrée par des processus formels - querelles internes incessantes à propos des compétences entre USA et Inde - la réflexion en parallèle n'est pas appréciée;Je travaille chez Altran North America à temps plein depuis plus de 8 ans;Employé actuel - Assistant en Anglais;Paris;2;13641-AVIS-SOC-GLASSDOOR-E28187_P1.html;79;Altran North America;3.6
Avantages : Si vous aimez les gens qui s'approprient vos succès, vos idées : allez-y Pas de plan marketing, aucun dossier de remboursement en cours. Fraude la sécurité sociale en se faisant rembourser les nouvelles prothèses phonatoires avec les anciennes références qui avaient, elles, le droit d'etre remboursées Inconvénients : Trop long à énumérer, mais tant que cette société sera manager que sous l'aspect financier sans tenir compte du reste et plus particulièrement des patients, elle stagnera;J'ai travaillé chez Atos Medical à temps plein plus d'un an;Ancien employé - Sales and Business Development Manager;Bagneux, Île-de-France;1;13554-AVIS-SOC-GLASSDOOR-E855284_P1.html;8;Atos Medical;2.6
Avantages : *Bonne ambiance entre collègues *Esprit d'équipe *Bonne rémunération par rapport au marché Inconvénients : *Société de famille *Mal organisée *L'evolution de carrière ne dépend pas forcement de compétence *Projets peu intéressants *Absence de contribution de RH *Pas de visibilité;Je travaille chez Altran Telnet à temps plein depuis plus d'un an;Employé actuel - Employé anonyme;Tunis;2;13643-AVIS-SOC-GLASSDOOR-E2411165_P1.html;80;Altran Telnet;2.0
Avantages : Primes , tickets restaurants et cadeaux marqués Inconvénients : Horaires du commerce , ouverture le dimanche pour certains;Je travaille chez Sephora à temps plein depuis plus d'un an;Employé actuel - manageur;Nice;1;13645-AVIS-SOC-GLASSDOOR-E14590_P1.html;81;Sephora;3.6
Avantages : Si vous souhaitez travailler en équipe, faire partit d’une équipe souder pour atteindre les objectifs. Inconvénients : Le fait que les personnes au dessus de reconnaisse pas tout le travail que nous sommes amener à faire quotidiennement.;J'ai travaillé chez Sephora à;;Boulogne-Billancourt;2;13645-AVIS-SOC-GLASSDOOR-E14590_P2.html;82;Sephora;3.6
Avantages : International Ambiance salaire carrière evolution Inconvénients : Horaires manque de dynamisme affaires;Je travaille chez LVMH à temps plein depuis plus d'un an;Employé actuel - Chef De Produits;;4;13646-AVIS-SOC-GLASSDOOR-E3489_P1.html;83;LVMH;3.7
Avantages : l'emplacement et la facilité pour integrer l'entreprise Inconvénients : salaire faible, aucune flexibilité, manque d'organisation, de transparence et de clareté;Je travaille chez LVMH à temps plein depuis moins d'un an;Employé actuel - Directeur général;;1;13646-AVIS-SOC-GLASSDOOR-E3489_P2.html;84;LVMH;3.7
Avantages : Une entreprise apte à se réinventer. Ouvrez-vous à un travail autonome et à de belles opportunités pour relever de nouveaux défis. Bonne ambiance et bonnes conditions de travail. Inconvénients : Silos. Doit s’ouvrir à davantage d’interactions et de collaboration entre les différentes équipes/compétences et interfaces. Analyste des risques;Je travaille chez Statkraft AS à temps plein;Employé actuel - Anonymous;;4;13647-AVIS-SOC-GLASSDOOR-E241449_P1.html;85;Statkraft AS;4.0
Avantages : Travailler sur un projet ambitieux sur un marché émergent Un forte croissance en ligne de mire Une équipe dynamique et impliquée Un cadre agréable Inconvénients : Un très haut niveau d'exigence;J'ai travaillé chez Sparklane à temps plein plus de 3 ans;Ancien employé - Sales Executive;Nantes;1;13648-AVIS-SOC-GLASSDOOR-E1137726_P1.html;86;Sparklane;3.4
Avantages : Un beau cadre de travail, des salariés soudés et très sympa, babyfoot, moyenne d'âge entre 30 et 40 ans Inconvénients : Mauvais management, fort turnover, pas d'ecoute de la part de la direction, stratégie changeante tous les 6 mois;J'ai travaillé chez Sparklane à temps plein;Ancien employé - Employé anonyme;;2;13648-AVIS-SOC-GLASSDOOR-E1137726_P2.html;87;Sparklane;3.4
Avantages : Tout à apprendre, de beaux projets, de belles responsabilités Inconvénients : Ambiance et jeux politiques... à fuir;J'ai travaillé chez Manpower à temps plein plus de 8 ans;Employé actuel - Consultant;Carros;4;13649-AVIS-SOC-GLASSDOOR-E2548_P1.html;88;Manpower;4.3
NULL NULL;Je travaille chez Manpower à temps plein depuis plus de 3 ans;Employé actuel - Chargé D'affaire;Valence, Rhône-Alpes;5;13649-AVIS-SOC-GLASSDOOR-E2548_P2.html;89;Manpower;4.3
Avantages : très bonne expérience et enrichissante à tous les niveaux Inconvénients : le seul point à amélioré c'est parfois la communication entre les différents fonctions;Je travaille chez Dassault Systemes à temps plein depuis moins d'un an;Employé actuel - Sofware Engineer;Paris;3;13558-AVIS-SOC-GLASSDOOR-E6162_P1.html;9;Dassault Systemes;3.7
Avantages : esprit de grupe et equipe rh Inconvénients : grille salaire predefini plus adapté au junior;Je travaille chez ITS à temps plein depuis plus de 3 ans;Employé actuel - Consultatnt;Paris;4;13650-AVIS-SOC-GLASSDOOR-E809243_P1.html;90;ITS;3.4
Avantages : Interlocuteurs (responsable de compte, RH) sympas, quelques outils pour le collaborateur Inconvénients : J'ai passé 8 ans chez eux, enfin non, 8 ans en délégation chez les clients. Une seule augmentation significative sous la pression du client, sinon c'est 1% de temps de temps, juste un matricule qui rapporte de la facturation mensuelle, aucun suivi, peu de formation, aucune évolution proposée, culture d'entreprise proche du néant, une ESN de taille modeste et comme tant d'autres, sans âme.;J'ai travaillé chez ITS Group à temps plein plus de 8 ans;Ancien employé - Architecte technique;Saint-Ouen, Île-de-France;2;13652-AVIS-SOC-GLASSDOOR-E788645_P1.html;91;ITS Group;3.5
Avantages : Le salaire et l'ambiance générale Inconvénients : Manque de communication sur la stratégie;Je travaille chez ITS Group à temps plein;Employé actuel - Employé anonyme;Lyon;3;13652-AVIS-SOC-GLASSDOOR-E788645_P2.html;92;ITS Group;3.5
Avantages : très bon laboratoire de recherche Inconvénients : aucun j'ai bien apprécié le temps que j'ai passé dans ce labos;J'ai travaillé chez Loria à plus de 3 ans;;Vandoeuvre;3;13653-AVIS-SOC-GLASSDOOR-E454220_P1.html;93;Loria;4.1
Avantages : - Liberté d'action - Voiture de fonction Inconvénients : - Grande concurrence sur ce secteur - Phase de reprise à la suite du RJ;Je travaille chez ITS Overlap à temps plein;Employé actuel - Employé anonyme;;3;13654-AVIS-SOC-GLASSDOOR-E899918_P1.html;94;ITS Overlap;3.0
Avantages : Égalité des sexes, environnement de travail convivial, Inconvénients : you should be self-discipline and curious to keep updated cause no one asks you to keep learning;J'ai travaillé chez Canon ITS à temps plein plus de 10 ans;Ancien employé - Développeur;Shanghai, Shanghai;4;13655-AVIS-SOC-GLASSDOOR-E717393_P1.html;95;Canon ITS;3.2
Avantages : mutuelle, equipe soudée, great place to work Inconvénients : pas d'inconvenient pour le moment;J'ai travaillé chez Groupe SII à temps plein plus d'un an;Ancien employé - Développeur Java;Élancourt;5;13660-AVIS-SOC-GLASSDOOR-E26056_P1.html;96;Groupe SII;3.6
Avantages : Salaire Avantages Primes Ambiance Inconvénients : Les missions sont encore pas très mature sur le domaine du Cloud. SII doit faire plus d'efforts sur ce sujet;J'ai travaillé chez Groupe SII à temps plein moins d'un an;Employé actuel - Solutions Architect;Montréal, QC;1;13660-AVIS-SOC-GLASSDOOR-E26056_P2.html;97;Groupe SII;3.6
Avantages : Pour une première expérience et première impression je trouve qu'il y a une bonne ambience et le personnel est très sympa. Inconvénients : Je viens de commencer et jusqu'à présent aucun inconvenient.;Je travaille chez Sii Poland à temps plein depuis plus de 3 ans;Employé actuel - Ingénieur Logiciel;Paris;2;13661-AVIS-SOC-GLASSDOOR-E633820_P1.html;98;Sii Poland;4.8
Avantages : pour ceux/celles qui aiment le service clientele et les voitures Inconvénients : Quelques clients difficiles a gerer, manque de vehicule..;Je travaille chez Sii Poland à;;Rennes;2;13661-AVIS-SOC-GLASSDOOR-E633820_P2.html;99;Sii Poland;4.8
